feature,mean,std
MIB2,-9.462401869578808e-05,0.00042792417050622653
ARHGEF10L,0.010900793586376033,0.005553944398403501
AGBL4,9.107158752970079e-05,0.00046201320874146486
PRKACB,0.0,0.0
ANP32E,0.0,0.0
LCE2A,7.41018035918195e-05,0.000148203607183639
U3|ENSG00000252669.1,0.0,0.0
MIR5698,0.0,0.0
TPM3,7.41018035918195e-05,0.000148203607183639
C1orf43,0.0043575205015645045,0.0042847046943208
IL6R,0.0,0.0
SHC1,7.41018035918195e-05,0.000148203607183639
MTX1,0.0,0.0
FAM189B,0.0,0.0
MIR555,0.0,0.0
DAP3,0.0,0.0
C1orf85,0.0,0.0
VANGL2,0.00033826387521225244,0.0007222247948705081
CD84,-0.003608713020766918,0.004332490585348502
F5,0.0,0.0
NPL,-0.0008339400552810794,0.001273864476127068
ETNK2,0.00022230541077545852,0.00018151160781989555
KISS1,0.0,0.0
PPP1R15B,0.0002586159125623988,0.0006969655858659301
TMEM81,0.0,0.0
LEMD1,-0.0011119200737081058,0.0013618184076713603
IL19,-2.5838563053059983e-05,3.946905701317888e-05
IL20,0.0,0.0
CD34,0.0,0.0
HSD11B1,0.0003702332469455727,0.0003702332469455727
FAM71A,0.0,0.0
HDAC1P2,0.0,0.0
RNU6ATAC35P,0.0,0.0
AIDA,0.0004874414994782694,0.0004874414994782695
RN7SL276P,0.0,0.0
DISP1,0.0004874414994782694,0.0004874414994782695
TLR5,-0.0031180550253306905,0.003864420746207288
NVL,0.0,0.0
MIR4742,0.0,0.0
ENAH,0.0,0.0
SNORA51|ENSG00000206878.1,0.0,0.0
R3HDM1,0.0004854011236989919,0.0009708022473979838
DYTN,0.006906325119319346,0.003111712446220026
NGEF,0.000863667183491934,0.0025910015504758024
CHL1,0.0,0.0
IL5RA,0.0,0.0
SUMF1,0.0,0.0
OXTR,0.0,0.0
ARPC4,0.0,0.0
RPUSD3,-6.633901348098714e-05,0.00013267802696197427
CIDEC,0.0,0.0
EMC3,0.0,0.0
CIDECP,0.0006824180992695772,0.0004467475136443895
FANCD2,-0.0006716733871647507,0.00043971344842426435
snoU13|ENSG00000238642.1,-0.0005608056773354075,0.0005608056773354075
VHL,0.0,0.0
