feature,mean,std
ABCA13,0.0,0.0
ABCA3,0.008159403422561384,0.0035269950448854363
ABCC11,0.002589563324448507,0.003408491184498066
ACAD11,0.007214293010976558,0.003607146505488279
ACSM3,0.002693408490092075,0.0013467042450460377
ADAP1,0.0,0.0
AFF3,0.0,0.0
AGER,0.0,0.0
AKR7A3,0.0,0.0
ALDH3A1,0.0,0.0
ALG12,0.0,0.0
AMN,0.0011714976508000908,0.0014148582925252204
AMOTL2,0.0,0.0
ANGPTL4,0.002476925375267158,0.003520829231865598
ANKHD1-EIF4EBP3,0.003759775702818291,0.005820428595816958
ANKRD6,0.0003366760612615094,0.0010100281837845282
ANKS1B,0.0,0.0
ANKS6,0.0,0.0
ANXA2P1,0.006657608763162714,0.0038782001099933387
ANXA4,0.0,0.0
ANXA8,0.0,0.0
APOA1,0.00763761664266358,0.004416958714899625
AQP4,0.004552256917073105,0.0050758004727897025
ARHGAP24,0.0,0.0
ARHGAP39,0.0006733521225230187,0.0013467042450460377
ARMC8,0.0030095770542778676,0.004663826758957988
ARRB1,0.003366760612615094,0.0
ASPA,0.0003366760612615094,0.001010028183784528
ASPDH,0.0003366760612615094,0.0010100281837845282
ASRGL1,0.0,0.0
ATP10B,0.002693408490092075,0.0013467042450460377
ATP1B1,0.0006733521225230187,0.0013467042450460377
ATP1B3,0.008191862308661235,0.0025749169654284104
ATP2B2,0.0,0.0
ATP6V1B1,0.0013467042450460375,0.0016493691174014164
AVPR1B,0.0,0.0
B3GNT5,0.0010100281837845282,0.0015428435354104565
BAIAP2L1,0.0062031783372808015,0.004353580515124038
BCAM,0.0,0.0
BCAR1,0.0,0.0
BCL2L15,0.002356732428830566,0.0015428435354104563
BHMT,0.002476925375267158,0.003520829231865598
BICD2,0.006312506384604488,0.0041325054760488695
BMP2,0.0,0.0
BMP5,0.0,0.0
BSG,0.0,0.0
BTK,0.0018035732527441396,0.003607146505488279
BTNL3,0.006312506384604488,0.0041325054760488695
C10orf35,0.003607146505488279,0.004417834182954862
C10orf41,0.01147114234713371,0.0034063062251916895
C11orf54,0.0,0.0
C11orf9,0.0,0.0
